title,phone,whatsapp,website,instagram,facebook,address,nicho,cidade,source,date_found,status,notes
Oralplan Clínica Dentária - Lisboa,308 800 566,https://wa.me/351915066140,https://www.oralplan.pt/,,,"Av. Fontes Pereira de Melo 35 Lj C, 1069-067 Lisboa",Clínicas dentárias,Lisboa,https://www.google.com/maps/place/Oralplan+Cl%C3%ADnica+Dent%C3%A1ria+-+Lisboa/data=!4m7!3m6!1s0xd193373f23896f3:0xe86d679fb40be963!8m2!3d38.7313715!4d-9.146843!16s%2Fg%2F11rvlrw9k0!19sChIJ85Y48nMzGQ0RY-kLtJ9nbeg?authuser=0&hl=en&g_ep=EgoyMDI2MDgzMC4wIJJjKgBIAVAD&rclk=1,2026-09-02,,
Oral Project Lisboa,21 847 0618,,https://www.oralproject.pt/clinicas/lisboa,,,"R. Luís Augusto Palmeirim n.º 15B, 1700-273 Lisboa",Clínicas dentárias,Lisboa,https://www.google.com/maps/place/Oral+Project+Lisboa/data=!4m7!3m6!1s0xd19325534ece01f:0x838bc380a60d081e!8m2!3d38.7546237!4d-9.1440156!16s%2Fg%2F11gfjb_y6v!19sChIJH-DsNFUyGQ0RHggNpoDDi4M?authuser=0&hl=en&g_ep=EgoyMDI2MDgzMC4wIJJjKgBIAVAD&rclk=1,2026-09-02,,
Clínica Mint - Clínica Dentária Lisboa,21 155 2308,https://wa.me/351918393844,https://mint.pt/,,,"Clinica Mint - Clinica Dentária Lisboa, Av. Marquês de Tomar 5A e 5B, 1050-152 Lisboa",Clínicas dentárias,Lisboa,https://www.google.com/maps/place/Cl%C3%ADnica+Mint+-+Cl%C3%ADnica+Dent%C3%A1ria+Lisboa/data=!4m7!3m6!1s0xd19330b0eed0e4d:0x5001ac08a33bac15!8m2!3d38.7354165!4d-9.149366!16s%2Fg%2F11cmty7fpb!19sChIJTQ7tDgszGQ0RFaw7owisAVA?authuser=0&hl=en&g_ep=EgoyMDI2MDgzMC4wIJJjKgBIAVAD&rclk=1,2026-09-02,,
CDL - Dental Clinic Lisbon,21 354 0059,https://api.whatsapp.com/send?phone=351916423353,https://dentistalisboa.com/?utm_source=Google&utm_medium=Organic_Local&utm_campaign=GMB,,,"R. Ferreira da Silva 9B, 1900-228 Lisboa",Clínicas dentárias,Lisboa,https://www.google.com/maps/place/CDL+-+Dental+Clinic+Lisbon/data=!4m7!3m6!1s0xd193399f9382d3f:0x8ca8c631aeed2bd!8m2!3d38.7355432!4d-9.1335602!16s%2Fg%2F1td7vg3v!19sChIJPy04-ZkzGQ0RvdLuGmOMygg?authuser=0&hl=en&g_ep=EgoyMDI2MDgzMC4wIJJjKgBIAVAD&rclk=1,2026-09-02,,
Clínica Dentária do Marquês,21 197 7188,https://wa.me/351913458089,http://www.clinicadomarques.pt/,,,"R. Braamcamp 14, 1250-071 Lisboa",Clínicas dentárias,Lisboa,https://www.google.com/maps/place/Cl%C3%ADnica+Dent%C3%A1ria+do+Marqu%C3%AAs/data=!4m7!3m6!1s0xd19337a09209939:0x5a3cf4877e44b429!8m2!3d38.7236237!4d-9.1512943!16s%2Fg%2F1ptz27d5v!19sChIJOZkgCXozGQ0RKbREfof0PFo?authuser=0&hl=en&g_ep=EgoyMDI2MDgzMC4wIJJjKgBIAVAD&rclk=1,2026-09-02,,
AS CLÍNICAS - Clínicas de Medicina Dentária e Estética - Lisboa,916 892 580,,https://www.asclinicas.pt/,,,"R. Dr. Gama Barros 27A, 1700-143 Lisboa",Clínicas dentárias,Lisboa,https://www.google.com/maps/place/AS+CL%C3%8DNICAS+-+Cl%C3%ADnicas+de+Medicina+Dent%C3%A1ria+e+Est%C3%A9tica+-+Lisboa/data=!4m7!3m6!1s0xd19337c9f65ae43:0xc345eb96452f83f9!8m2!3d38.747978!4d-9.1391705!16s%2Fg%2F1tdx5d6t!19sChIJQ65ln3wzGQ0R-YMvRZbrRcM?authuser=0&hl=en&g_ep=EgoyMDI2MDgzMC4wIJJjKgBIAVAD&rclk=1,2026-09-02,,
VitaCentro Clínica - Dentista Lisboa,960 317 236,,https://www.vitacentro.com/,,,"Clínica Dentária Vita Centro Lisboa, Av. Frei Miguel Contreiras 54C, 1700-213 Lisboa",Clínicas dentárias,Lisboa,https://www.google.com/maps/place/VitaCentro+Cl%C3%ADnica+-+Dentista+Lisboa/data=!4m7!3m6!1s0xd1933af4a07e121:0xb3a6059f79b6c6c9!8m2!3d38.7461101!4d-9.1392273!16s%2Fg%2F11z20nsbt!19sChIJIeEHSq8zGQ0Ryca2eZ8FprM?authuser=0&hl=en&g_ep=EgoyMDI2MDgzMC4wIJJjKgBIAVAD&rclk=1,2026-09-02,,
Oral XXI - Medical Dental Clinic,21 793 2019,,http://www.oralxxi.pt/,,,"Av. República 43 Galeria Esquerda, 1050-187 Lisboa",Clínicas dentárias,Lisboa,https://www.google.com/maps/place/Oral+XXI+-+Medical+Dental+Clinic/data=!4m7!3m6!1s0xd193309f7c10e1b:0xdf1ccb660c3f2dde!8m2!3d38.7378125!4d-9.1464152!16s%2Fg%2F11bx09fh78!19sChIJGw7B9wkzGQ0R3i0_DGbLHN8?authuser=0&hl=en&g_ep=EgoyMDI2MDgzMC4wIJJjKgBIAVAD&rclk=1,2026-09-02,,
Clínica Dentária Maia,927 699 917,https://wa.me/351927699917,http://clinicadentariamaia.com/,,,"Avenida 5 de Outubro 156 2º, 1050-062 Lisboa",Clínicas dentárias,Lisboa,https://www.google.com/maps/place/Cl%C3%ADnica+Dent%C3%A1ria+Maia/data=!4m7!3m6!1s0xd193320e6b06733:0x9d646b647a88c645!8m2!3d38.7402607!4d-9.148331!16s%2Fg%2F11ghtn8s61!19sChIJM2ew5iAzGQ0RRcaIemRrZJ0?authuser=0&hl=en&g_ep=EgoyMDI2MDgzMC4wIJJjKgBIAVAD&rclk=1,2026-09-02,,
"Clínica Médica Dentária S. João - Lisboa, Saldanha",21 073 1788,https://wa.me/351968603468,https://clinicadentariasjoao.com/,,,"Av. Fontes Pereira de Melo, nº 42, Porta 2 i 1º, Escritório 7, 1050-250 Lisboa",Clínicas dentárias,Lisboa,"https://www.google.com/maps/place/Cl%C3%ADnica+M%C3%A9dica+Dent%C3%A1ria+S.+Jo%C3%A3o+-+Lisboa,+Saldanha/data=!4m7!3m6!1s0xd19337563b3a355:0xbba67faa56bb802!8m2!3d38.7318892!4d-9.1458027!16s%2Fg%2F11f4r19cg6!19sChIJVaOzY3UzGQ0RArhrpfpnugs?authuser=0&hl=en&g_ep=EgoyMDI2MDgzMC4wIJJjKgBIAVAD&rclk=1",2026-09-02,,
